#1 AntPos X	#2 AntPos Y	#3 Distance form nest	
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.00333249	0.0609823	0.0610733
-0.0154721	0.144255	0.145082
-0.0370374	0.233332	0.236254
-0.0693528	0.321623	0.329016
-0.111911	0.413904	0.428766
-0.185287	0.500178	0.533394
-0.273447	0.574039	0.635841
-0.363032	0.635489	0.731873
-0.454074	0.680488	0.818075
-0.545695	0.719851	0.90331
-0.640659	0.755672	0.990699
-0.735684	0.786421	1.07689
-0.827423	0.813328	1.16023
-0.923035	0.8404	1.2483
-1.01997	0.864021	1.33674
-1.10749	0.893921	1.42325
-1.19991	0.921638	1.51301
-1.29077	0.947647	1.60129
-1.38772	0.972752	1.6947
-1.4833	0.998325	1.78797
-1.5845	1.02219	1.8856
-1.69535	1.04121	1.98956
-1.80067	1.06113	2.09008
-1.90242	1.08074	2.18797
-2.00363	1.10178	2.28658
-2.10506	1.12205	2.38543
-2.20472	1.14141	2.48266
-2.29523	1.16425	2.57363
-2.39315	1.18771	2.67167
-2.50862	1.21218	2.78614
-2.62396	1.23214	2.89885
-2.74631	1.25517	3.01955
-2.85562	1.27633	3.12787
-2.95903	1.29682	3.23073
-3.05916	1.31681	3.33053
-3.15721	1.33276	3.42699
-3.25378	1.3484	3.52211
-3.35017	1.36959	3.61931
-3.44628	1.38975	3.71595
-3.54261	1.42737	3.81936
-3.63328	1.47299	3.92051
-3.72442	1.51812	4.02194
-3.80874	1.56704	4.11851
-3.89201	1.61321	4.21309
-3.98773	1.6494	4.31538
-4.07537	1.68001	4.40807
-4.1653	1.7115	4.50321
-4.25851	1.74107	4.60068
-4.34436	1.7733	4.69234
-4.43444	1.80621	4.78818
-4.52663	1.84011	4.88635
-4.615	1.87384	4.98091
-4.69621	1.90344	5.0673
-4.78407	1.92872	5.15823
-4.87337	1.95603	5.25126
-4.96025	1.98897	5.34416
-5.04953	2.0262	5.44089
-5.13825	2.07249	5.54047
-5.21795	2.11426	5.63002
-5.30065	2.15803	5.72311
-5.39297	2.20085	5.82476
-5.47513	2.24466	5.91739
-5.55808	2.2875	6.01041
