#1 AntPos X	#2 AntPos Y	#3 Distance form nest	
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.00115257	0.065211	0.0652212
-0.00709073	0.150936	0.151103
-0.0148892	0.241224	0.241683
-0.0285902	0.338728	0.339932
-0.0464111	0.445711	0.448121
-0.0687025	0.547654	0.551947
-0.101321	0.644205	0.652124
-0.167675	0.73949	0.758262
-0.244044	0.818877	0.854469
-0.327937	0.885416	0.944195
-0.411043	0.932743	1.0193
-0.497169	0.98087	1.09967
-0.588713	1.02304	1.18033
-0.691279	1.06047	1.26589
-0.782375	1.08891	1.34083
-0.88239	1.1184	1.42458
-0.984669	1.14229	1.50811
-1.08038	1.18179	1.6012
-1.19074	1.22269	1.70671
-1.29482	1.25571	1.80371
-1.39208	1.28472	1.89431
-1.4977	1.2944	1.97954
-1.59823	1.29987	2.0601
-1.69843	1.30499	2.14188
-1.79995	1.31241	2.22761
-1.91244	1.31876	2.32305
-2.01752	1.32586	2.41419
-2.1212	1.33148	2.50446
-2.23886	1.3318	2.60503
-2.33519	1.32897	2.68688
-2.43314	1.32599	2.77099
-2.52922	1.33218	2.85861
-2.62274	1.32535	2.93859
-2.72272	1.31744	3.0247
-2.81872	1.30964	3.10811
-2.92512	1.30592	3.2034
-3.0281	1.30145	3.29593
-3.12027	1.28814	3.3757
-3.21634	1.27982	3.46161
-3.31806	1.26919	3.55251
-3.41748	1.26033	3.64248
-3.52664	1.26039	3.7451
-3.63175	1.26126	3.84452
-3.73947	1.25815	3.94545
-3.8435	1.26507	4.04635
-3.94086	1.27056	4.14062
-4.04885	1.28003	4.24637
-4.154	1.28946	4.34953
-4.25728	1.2931	4.44933
-4.35948	1.29099	4.54662
-4.45965	1.28854	4.64207
-4.56164	1.28356	4.73879
-4.66433	1.2832	4.83762
-4.7557	1.28646	4.92663
-4.85099	1.29649	5.02126
-4.95034	1.30808	5.12025
-5.05086	1.32342	5.22136
-5.15103	1.33737	5.32181
-5.24421	1.34637	5.41428
-5.34264	1.36506	5.51427
-5.43978	1.38785	5.61403
-5.53321	1.419	5.71226
-5.62763	1.45038	5.81152
-5.72549	1.48006	5.9137
-5.82619	1.50976	6.01862
