#1 AntPos X	#2 AntPos Y	#3 Distance form nest	
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.000497069	0.0625574	0.0625593
-0.00287573	0.138679	0.138709
-0.00521107	0.227865	0.227925
-0.008992	0.311817	0.311947
-0.0255172	0.395862	0.396684
-0.055779	0.481445	0.484665
-0.0927422	0.571492	0.578968
-0.147489	0.646076	0.662697
-0.213338	0.707002	0.738489
-0.292091	0.761896	0.815968
-0.372384	0.807767	0.88947
-0.462709	0.843544	0.962116
-0.566729	0.870486	1.03871
-0.646193	0.901187	1.10892
-0.736774	0.930164	1.18661
-0.829734	0.961588	1.27008
-0.92436	0.988366	1.35326
-1.02809	1.01382	1.44389
-1.14239	1.04348	1.54722
-1.24401	1.07877	1.64661
-1.34035	1.11483	1.74338
-1.43786	1.14834	1.84015
-1.53629	1.18087	1.93769
-1.63235	1.20579	2.02941
-1.73246	1.22673	2.1228
-1.83735	1.23075	2.21147
-1.9422	1.24017	2.30438
-2.02475	1.23247	2.37036
-2.11599	1.22459	2.4448
-2.22569	1.21682	2.5366
-2.33294	1.20379	2.6252
-2.4408	1.20028	2.71996
-2.54268	1.19767	2.81063
-2.63938	1.1971	2.89817
-2.73343	1.19585	2.98357
-2.83257	1.19116	3.07283
-2.93132	1.18796	3.1629
-3.02822	1.18572	3.25208
-3.12993	1.18237	3.34581
-3.24127	1.16302	3.4436
-3.3493	1.14107	3.53835
-3.4554	1.12968	3.63537
-3.55375	1.12146	3.7265
-3.65237	1.10373	3.81549
-3.74145	1.08089	3.89445
-3.83459	1.05685	3.97756
-3.9285	1.03254	4.06193
-4.02072	1.01102	4.14588
-4.11679	0.983195	4.23257
-4.19844	0.96294	4.30745
-4.28739	0.939019	4.38902
-4.37732	0.912765	4.47148
-4.47032	0.885402	4.55716
-4.57079	0.860352	4.65106
-4.67415	0.833083	4.74781
-4.76621	0.821215	4.83644
-4.85776	0.805883	4.92416
-4.9518	0.78008	5.01287
-5.04618	0.753546	5.10213
-5.14144	0.730677	5.1931
-5.241	0.713104	5.28929
-5.33319	0.702986	5.37932
-5.43025	0.693506	5.47436
-5.52517	0.682652	5.56718
-5.62628	0.679847	5.6672
-5.72272	0.674792	5.76236
-5.82443	0.665077	5.86228
-5.91656	0.657088	5.95294
-6.00214	0.641586	6.03633
-6.09414	0.623895	6.126
-6.18616	0.581175	6.2134
-6.27269	0.539686	6.29586
-6.36211	0.497386	6.38152
-6.45639	0.450626	6.4721
-6.54955	0.397856	6.56162
-6.63825	0.343821	6.64715
-6.72686	0.286191	6.73295
-6.81053	0.229343	6.81439
-6.89149	0.170408	6.8936
-6.97081	0.111842	6.97171
-7.04738	0.0550178	7.04759
-7.13013	-0.00168311	7.13013
-7.21278	-0.0583407	7.21302
-7.29852	-0.115394	7.29943
-7.38452	-0.173243	7.38655
-7.46265	-0.222102	7.46596
-7.5606	-0.274225	7.56557
-7.65616	-0.324505	7.66303
-7.74974	-0.37297	7.75871
-7.83548	-0.418464	7.84664
-7.93083	-0.465014	7.94445
-8.02817	-0.512193	8.04449
-8.12015	-0.555269	8.13911
-8.22453	-0.607637	8.24695
-8.32155	-0.647145	8.34667
-8.42393	-0.68839	8.45201
-8.52218	-0.726413	8.55308
-8.61467	-0.76451	8.64852
-8.70301	-0.79984	8.73969
-8.8	-0.850474	8.841
-8.91035	-0.898116	8.9555
-9.015	-0.941197	9.064
-9.11386	-0.987562	9.16721
-9.19976	-1.01483	9.25557
-9.29068	-1.05264	9.35013
-9.38505	-1.09655	9.44889
-9.47686	-1.14044	9.54523
-9.57246	-1.18716	9.64579
-9.65759	-1.2359	9.73634
-9.752	-1.28486	9.83628
-9.845	-1.32971	9.93439
-9.9387	-1.37381	10.0332
-10.0321	-1.43101	10.1337
-10.1273	-1.4798	10.2349
-10.2189	-1.52333	10.3319
-10.3187	-1.56855	10.4372
-10.4052	-1.59135	10.5262
-10.499	-1.61678	10.6227
-10.6069	-1.65034	10.7345
-10.7034	-1.6863	10.8354
-10.7842	-1.72672	10.9215
-10.87	-1.77001	11.0132
-10.9578	-1.81648	11.1073
-11.048	-1.85744	11.203
-11.1351	-1.89609	11.2954
-11.2209	-1.93694	11.3869
-11.3084	-1.99133	11.4824
-11.3954	-2.04751	11.5779
-11.4843	-2.09773	11.6744
-11.574	-2.14811	11.7716
-11.6769	-2.19312	11.881
-11.7734	-2.23231	11.9831
-11.8689	-2.26152	12.0825
-11.964	-2.28844	12.1809
-12.061	-2.31483	12.2812
-12.159	-2.34357	12.3828
-12.2558	-2.37226	12.4833
-12.3529	-2.40007	12.5839
-12.4486	-2.44527	12.6865
-12.5532	-2.49443	12.7987
-12.6512	-2.53669	12.903
-12.7493	-2.57423	13.0066
-12.8441	-2.61564	13.1077
-12.9351	-2.65513	13.2048
-13.028	-2.69689	13.3042
-13.1189	-2.73804	13.4016
-13.2054	-2.77543	13.4939
-13.2943	-2.81252	13.5886
-13.3809	-2.84717	13.6804
