#1 AntPos X	#2 AntPos Y	#3 Distance form nest	
0.0371988	-0.0439024	0.0575428
0.0754657	-0.114937	0.137498
0.107385	-0.205405	0.231782
0.124166	-0.274016	0.300835
0.134521	-0.362969	0.387095
0.140284	-0.455754	0.476855
0.145548	-0.538842	0.558153
0.133027	-0.61458	0.628813
0.113807	-0.703211	0.712361
0.0905216	-0.810033	0.815075
0.0697431	-0.899446	0.902146
0.0495171	-0.995005	0.996236
0.0351243	-1.09144	1.09201
0.0224595	-1.18871	1.18893
0.00756526	-1.28687	1.2869
-0.0154968	-1.38645	1.38654
-0.0421726	-1.48214	1.48274
-0.0733425	-1.58106	1.58276
-0.0946821	-1.69099	1.69364
-0.104441	-1.78661	1.78966
-0.113454	-1.88663	1.89003
-0.114645	-1.98178	1.98509
-0.103759	-2.07682	2.07941
-0.0916732	-2.16704	2.16897
-0.0786059	-2.26205	2.26341
-0.0774248	-2.36483	2.3661
-0.068089	-2.46888	2.46982
-0.0579308	-2.57868	2.57933
-0.0491963	-2.67941	2.67986
-0.0372388	-2.77835	2.7786
-0.0205378	-2.87562	2.87569
-0.0152859	-2.96205	2.96209
-0.0108936	-3.05464	3.05466
-0.0131591	-3.16128	3.16131
-0.012389	-3.25567	3.25569
-0.0239742	-3.35295	3.35304
-0.0385962	-3.4521	3.45231
-0.0328275	-3.54414	3.54429
-0.0255543	-3.6426	3.64269
-0.00650336	-3.75903	3.75904
-0.00146846	-3.87316	3.87316
0.0040698	-3.98691	3.98692
0.00843258	-4.09374	4.09375
0.02011	-4.18327	4.18332
0.0230986	-4.26953	4.26959
0.0246487	-4.36578	4.36585
0.0263298	-4.4644	4.46448
0.0260283	-4.56236	4.56244
0.03316	-4.65731	4.65743
0.0439718	-4.75099	4.75119
0.052308	-4.8439	4.84418
0.0748202	-4.9315	4.93207
0.0876055	-5.02854	5.0293
0.0935587	-5.12665	5.1275
0.0835665	-5.21899	5.21966
0.0622179	-5.30932	5.30968
0.051798	-5.39941	5.39966
0.0383623	-5.49538	5.49551
0.0254547	-5.59128	5.59134
0.0220607	-5.69974	5.69978
0.0189175	-5.79374	5.79377
0.00547223	-5.87991	5.87992
-0.0157208	-5.98079	5.98081
-0.0316929	-6.08076	6.08084
-0.0519052	-6.18869	6.1889
-0.0613757	-6.29532	6.29562
-0.0703748	-6.40025	6.40064
-0.0741695	-6.50108	6.5015
-0.0634083	-6.60902	6.60932
-0.0561364	-6.71086	6.7111
-0.0487302	-6.81056	6.81074
-0.0339641	-6.9177	6.91779
-0.0229444	-7.01164	7.01168
-0.00435608	-7.12112	7.12112
0.0122644	-7.22325	7.22326
0.0152462	-7.33152	7.33154
0.0141503	-7.43748	7.4375
0.00837451	-7.53804	7.53805
-0.00328875	-7.65232	7.65232
-0.0108972	-7.7564	7.75641
-0.016469	-7.85026	7.85027
-0.024768	-7.95901	7.95905
-0.0308104	-8.06682	8.06688
-0.032585	-8.16402	8.16409
-0.0354853	-8.25886	8.25894
-0.0345107	-8.35473	8.3548
-0.0269359	-8.43002	8.43006
-0.0156369	-8.5183	8.51832
-0.00488786	-8.61575	8.61575
0.0165137	-8.71545	8.71547
0.0424086	-8.81989	8.81999
0.056168	-8.92286	8.92303
0.0741764	-9.02391	9.02421
0.0751328	-9.1301	9.13041
0.0793005	-9.2255	9.22585
0.0748247	-9.30682	9.30712
0.0644026	-9.41044	9.41066
0.0473073	-9.51381	9.51393
0.0457094	-9.61041	9.61052
0.0486669	-9.70617	9.70629
0.0467473	-9.80994	9.81005
0.0474241	-9.91927	9.91938
0.0504349	-10.0229	10.023
0.0539468	-10.1237	10.1239
0.0506	-10.2299	10.23
0.0510455	-10.3316	10.3317
0.0492838	-10.43	10.4301
0.0359828	-10.5409	10.541
0.0302965	-10.6519	10.652
0.0268905	-10.7721	10.7722
0.0272842	-10.8816	10.8816
0.0262244	-10.989	10.989
0.0165427	-11.0885	11.0885
0.00672531	-11.1906	11.1906
0.00760267	-11.2914	11.2914
0.00295399	-11.3909	11.3909
0.000141945	-11.4964	11.4964
-0.00307737	-11.6001	11.6001
-0.00591542	-11.702	11.702
-0.0102909	-11.8037	11.8037
-0.0102926	-11.9056	11.9056
-0.011913	-12.0066	12.0066
-0.0119605	-12.1067	12.1067
-4.91525e-05	-12.2038	12.2038
0.0227559	-12.3004	12.3004
0.03208	-12.4091	12.4091
0.0528769	-12.5032	12.5034
0.0686017	-12.6003	12.6004
0.0780592	-12.6993	12.6995
0.0849877	-12.7968	12.797
0.086865	-12.8924	12.8927
0.0853071	-12.9896	12.9899
0.0808279	-13.0882	13.0884
0.0650912	-13.18	13.1802
0.0498563	-13.2734	13.2735
0.030594	-13.3633	13.3634
0.0140675	-13.4584	13.4584
-0.00171138	-13.5431	13.5431
-0.0171672	-13.6377	13.6377
-0.0286409	-13.735	13.735
-0.0384038	-13.8355	13.8355
-0.0455949	-13.9327	13.9328
-0.0500358	-14.0334	14.0335
-0.0567353	-14.145	14.1451
-0.0516561	-14.2486	14.2487
-0.0492996	-14.3534	14.3535
-0.0436689	-14.4611	14.4612
-0.0338005	-14.5673	14.5673
-0.0255319	-14.6675	14.6676
-0.0240887	-14.7597	14.7597
-0.0307802	-14.8534	14.8534
-0.0336809	-14.948	14.948
-0.0361514	-15.0618	15.0618
-0.0387672	-15.1738	15.1738
-0.0430462	-15.2787	15.2788
-0.0521137	-15.3806	15.3806
-0.055023	-15.4831	15.4832
-0.0559804	-15.5848	15.5849
-0.0564075	-15.6813	15.6814
-0.049899	-15.7839	15.784
-0.0422069	-15.8844	15.8844
-0.0404357	-15.9824	15.9824
-0.0512704	-16.0781	16.0781
-0.0565383	-16.1768	16.1769
-0.0547531	-16.2801	16.2801
-0.0543894	-16.3831	16.3832
-0.0517921	-16.4815	16.4816
-0.0479236	-16.5803	16.5803
-0.0363543	-16.6771	16.6772
-0.0293795	-16.7778	16.7779
-0.0308193	-16.891	16.8911
-0.0279154	-16.9973	16.9973
-0.0288952	-17.1048	17.1048
-0.039334	-17.2045	17.2046
-0.0490418	-17.3107	17.3108
-0.0612874	-17.4113	17.4114
-0.0661705	-17.5097	17.5098
-0.0707435	-17.6093	17.6095
-0.0725053	-17.7004	17.7006
-0.0723711	-17.8008	17.8009
-0.0684951	-17.8992	17.8993
-0.0667146	-17.9956	17.9958
-0.058847	-18.1022	18.1023
-0.0489076	-18.1951	18.1951
-0.0389816	-18.2863	18.2863
-0.0351705	-18.3635	18.3635
-0.0260665	-18.4583	18.4583
-0.0179975	-18.5515	18.5515
-0.019255	-18.6476	18.6476
-0.0135755	-18.745	18.745
-0.00655558	-18.8372	18.8372
-0.000812255	-18.9322	18.9322
0.00326573	-19.0277	19.0277
0.00754682	-19.1237	19.1237
0.00494394	-19.2133	19.2133
0.0037036	-19.31	19.31
0.0186819	-19.4052	19.4052
0.0374409	-19.4991	19.4991
0.0491611	-19.5915	19.5915
0.0605777	-19.701	19.7011
