#1 AntPos X	#2 AntPos Y	#3 Distance form nest	
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.0423675	0.0259011	0.0496576
0.0998172	0.0776305	0.126451
0.15646	0.150334	0.216979
0.203678	0.247647	0.320646
0.230817	0.345817	0.415771
0.247497	0.457807	0.520425
0.251525	0.561447	0.615213
0.247981	0.663902	0.708704
0.236559	0.764739	0.800491
0.240388	0.868651	0.901299
0.246659	0.970694	1.00154
0.241588	1.07129	1.09819
0.224287	1.17591	1.19711
0.211039	1.27323	1.29061
0.182867	1.3716	1.38373
0.15482	1.46918	1.47731
0.148122	1.57475	1.5817
0.139035	1.67682	1.68257
0.108778	1.77702	1.78035
0.0760153	1.87486	1.8764
0.0542905	1.97043	1.97118
0.0397358	2.06278	2.06316
0.0323329	2.15008	2.15032
0.0153434	2.2473	2.24736
0.0027436	2.3425	2.3425
-0.00803548	2.43816	2.43817
-0.0159408	2.53331	2.53336
-0.0285841	2.62199	2.62215
-0.0450611	2.71302	2.71339
-0.0513979	2.81152	2.81199
-0.053767	2.91138	2.91188
-0.0551275	3.00947	3.00998
-0.0543125	3.10849	3.10896
-0.0491673	3.1949	3.19528
-0.0489924	3.2873	3.28766
-0.0508617	3.37976	3.38014
-0.0488639	3.47787	3.47821
-0.0386297	3.57043	3.57064
-0.021652	3.66979	3.66986
-0.00386886	3.77475	3.77475
0.016931	3.87246	3.8725
0.0338566	3.97108	3.97122
0.0485936	4.07467	4.07496
0.0585494	4.17066	4.17107
0.0764086	4.27661	4.27729
0.0893449	4.37947	4.38039
0.0957818	4.48222	4.48324
0.0897901	4.59004	4.59092
0.0869222	4.68681	4.68762
0.0711006	4.78105	4.78158
0.0521706	4.88064	4.88092
0.0352337	4.98835	4.98848
0.0162073	5.08915	5.08917
